Тип_документа;Документ;Описание_документа;Ду1;Ду2;Дн1;Дн2;L1;L2;Стенка1;Стенка2;Масса;Наименование_тройника
DIN;DIN 2615;Tee pieces;80;32;88,9;42,4;172;70;3,2;2,6;?;Tee 80x3,2-32x2,6-80x3,2 DIN 2615
DIN;DIN 2615;Tee pieces;100;100;114,3;114,3;210;105;3,6;3,6;?;Tee 100x3,6-100x3,6-100x3,6 DIN 2615
DIN;DIN 2615;Tee pieces;100;80;114,3;88,9;210;98;3,6;3,2;?;Tee 100x3,6-80x3,2-100x3,6 DIN 2615
DIN;DIN 2615;Tee pieces;100;65;114,3;76,1;210;95;3,6;2,9;?;Tee 100x3,6-65x2,9-100x3,6 DIN 2615
DIN;DIN 2615;Tee pieces;100;50;114,3;60,3;210;89;3,6;2,9;?;Tee 100x3,6-50x2,9-100x3,6 DIN 2615
DIN;DIN 2615;Tee pieces;100;40;114,3;48,3;210;86;3,6;2,6;?;Tee 100x3,6-40x2,6-100x3,6 DIN 2615
DIN;DIN 2615;Tee pieces;125;125;139,7;139,7;248;124;4;4;?;Tee 125x4-125x4-125x4 DIN 2615
DIN;DIN 2615;Tee pieces;125;100;139,7;114,3;248;117;4;3,6;?;Tee 125x4-100x3,6-125x4 DIN 2615
DIN;DIN 2615;Tee pieces;125;80;139,7;88,9;248;111;4;3,2;?;Tee 125x4-80x3,2-125x4 DIN 2615
DIN;DIN 2615;Tee pieces;125;65;139,7;76,1;248;108;4;2,9;?;Tee 125x4-65x2,9-125x4 DIN 2615
DIN;DIN 2615;Tee pieces;125;50;139,7;60,3;248;105;4;2,9;?;Tee 125x4-50x2,9-125x4 DIN 2615
DIN;DIN 2615;Tee pieces;150;150;168,3;168,3;286;143;4,5;4,5;?;Tee 150x4,5-150x4,5-150x4,5 DIN 2615
DIN;DIN 2615;Tee pieces;150;125;168,3;139,7;286;137;4,5;4;?;Tee 150x4,5-125x4-150x4,5 DIN 2615
DIN;DIN 2615;Tee pieces;150;100;168,3;114,3;286;130;4,5;3,6;?;Tee 150x4,5-100x3,6-150x4,5 DIN 2615
DIN;DIN 2615;Tee pieces;150;80;168,3;88,9;286;124;4,5;3,2;?;Tee 150x4,5-80x3,2-150x4,5 DIN 2615
DIN;DIN 2615;Tee pieces;150;65;168,3;76,1;286;121;4,5;2,9;?;Tee 150x4,5-65x2,9-150x4,5 DIN 2615
DIN;DIN 2615;Tee pieces;200;200;219,1;219,1;356;178;6,3;6,3;?;Tee 200x6,3-200x6,3-200x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;200;150;219,1;168,3;356;168;6,3;4,5;?;Tee 200x6,3-150x4,5-200x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;200;125;219,1;139,7;356;162;6,3;4;?;Tee 200x6,3-125x4-200x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;200;100;219,1;114,3;356;156;6,3;3,6;?;Tee 200x6,3-100x3,6-200x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;200;80;219,1;88,9;356;152;6,3;3,2;?;Tee 200x6,3-80x3,2-200x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;250;250;273;273;432;216;6,3;6,3;?;Tee 250x6,3-250x6,3-250x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;250;200;273;219,1;432;203;6,3;6,3;?;Tee 250x6,3-200x6,3-250x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;250;150;273;168,3;432;194;6,3;4,5;?;Tee 250x6,3-150x4,5-250x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;250;125;273;139,7;432;191;6,3;4;?;Tee 250x6,3-125x4-250x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;250;100;273;114,3;432;184;6,3;3,6;?;Tee 250x6,3-100x3,6-250x6,3 DIN 2615
DIN;DIN 2615;Tee pieces;300;300;323,9;323,9;508;254;7,1;7,1;?;Tee 300x7,1-300x7,1-300x7,1 DIN 2615
DIN;DIN 2615;Tee pieces;300;250;323,9;273;508;241;7,1;6,3;?;Tee 300x7,1-250x6,3-300x7,1 DIN 2615
DIN;DIN 2615;Tee pieces;300;200;323,9;219,1;508;229;7,1;6,3;?;Tee 300x7,1-200x6,3-300x7,1 DIN 2615
DIN;DIN 2615;Tee pieces;300;150;323,9;168,3;508;219;7,1;4,5;?;Tee 300x7,1-150x4,5-300x7,1 DIN 2615
DIN;DIN 2615;Tee pieces;300;125;323,9;139,7;508;216;7,1;4;?;Tee 300x7,1-125x4-300x7,1 DIN 2615
